"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2"
"m1","zix",2,"i","modal","H",71,11.06325,0.301,-1.50225,-1.6975,-13.069,-14.158,10.762,1.8035,12.7605,24.13225,25.2215,14.4595,11.72925,18.78275,-0.104439341546675,28.48725,47.678,46.11225,45.5485,0.85125,0.101,184.07775,350.52,2094.18075
"m1","zix",3,"i","modal","H",77,10.555,0.5235,-0.26125,-0.246,-12.43075,-14.79975,10.031,0.785,10.8005,22.98575,25.35475,14.95325,13.133,21.911,-0.051709319026347,31.8855,51.2415,49.44425,48.90075,0.7085,0.0935,180.454,350.37175,2084.29425
"m2","bi7ah",2,"i","checked","L",239,-5.0245,-19.25575,-13.8795,-25.482,-25.75625,-7.9425,14.23125,-5.37625,20.45725,20.73175,2.91775,-1.8835,23.957,15.001,-1.53017798402184,18.7905,35.02125,38.7015,41.448,0.00975,0.02125,131.965,310.37975,1596.7205
"m2","blli7in",1,"i","rearticulated","F",189,13.35975,5.991,4.25725,-1.124,-12.596,-14.6065,7.36875,1.734,14.48375,25.9555,27.9665,12.64775,20.36175,18.21775,-0.185253119505018,17.545,35.57425,41.28275,39.518,0,0.04225,104.772,286.22225,2457.17525
"m2","blli7in",2,"i","rearticulated","F",190,7.1045,1.66075,1.54,-7.89075,-11.433,-17.09675,5.4435,0.1205,14.995,18.5375,24.20125,7.92175,28.97625,15.70575,-0.890252762286771,21.67025,38.58275,43.50975,43.00375,0,0.038,90.51425,230.22325,2725.059
"m2","bxhidw",1,"i","modal","M",173,11.6515,5.2875,-0.00775000000000003,0.22475,-17.919,-10.03425,6.36375,5.2955,11.42625,29.57025,21.685,14.62875,11.8255,18.71275,-0.333248087588182,20.4165,38.56,40.54625,39.40225,0,0.04875,96.4135,279.9205,1866.87625
"m2","bxhidw",2,"i","modal","M",120,6.03275,0.565,-5.19675,-2.4305,-9.7665,-8.2475,5.468,5.76125,8.46325,15.79925,14.2805,0.41075,24.2955,16.35525,-0.802030632083828,20.18925,39.53525,42.13425,41.13525,0,0.0455,90.08075,256.909,2594.64625
"m2","bxhidw",3,"i","modal","M",119,3.644,-6.62675,-5.55025,-13.359,-23.1565,-8.27525,10.27075,-1.077,17.00325,26.8005,11.91925,17.042,7.9365,14.45275,-1.39794000867204,20.998,39.1405,41.552,40.02975,0,0.02475,82.20675,274.603,1910.986
"m2","chi7im",1,"i","rearticulated","H",94,12.5695,6.884,0.97675,-1.66875,-9.07825,-12.91375,5.6855,5.90725,14.2385,21.64825,25.48375,3.84975,23.176,16.02275,-0.26082336808927,19.248,40.2635,43.19475,41.24275,0,0.04,107.71025,315.42125,2693.62025
"m2","chi7im",2,"i","rearticulated","H",110,8.74225,1.8305,-2.54425,-7.438,-12.6555,-12.70375,6.9115,4.375,16.1805,21.39775,21.44625,4.627,21.45175,17.072,-0.845423883082114,19.4775,37.933,41.2525,40.83175,0,0.05375,96.431,281.8435,2671.694
