"idnum","measurement.no","Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1h2c","h1c","h2c","h4c","h2h4c","h42Kc","h2Kh5Kc","h1a1c","h1a2c","h1a3c","cpp","shr","hnr05","hnr15","hnr25","hnr35","f0","f1","f2","sB1","sB2","energy","soe","a1c","a2c","a3c","h1cz","h2cz","h4cz","a1cz","a2cz","a3cz","h1h2cz","h2h4cz","h42Kcz","h2Kh5Kcz","h1a1cz","h1a2cz","h1a3cz","energyz","hnr05z","hnr15z","hnr25z","hnr35z","cppz","shrz","durationz","norm.soe","H1c_resid"
687,"02","f6","yi7inh",3,"i","rearticulated","L",173,2.709,-5.546,-8.255,-8.466,0.212,1.172,27.651,3.039,12.638,12.59,15.944,0.283,23.391,39.085,44.11,44.402,150.593,304.448,2793.31,10.542,360.472,-1.25963731050576,0.068,-8.585,-18.184,-18.136,-0.46072542182494,-0.0501849824250901,0.0968037910101762,0.813535947415797,0.445837346058986,-0.256239223883148,-0.319156601669692,-0.140326060855558,-0.903262497874117,0.759601348885399,-1.04344991073132,-0.676754353844123,-0.00270643483680636,0.655916163414296,-0.113780598006684,0.378404142406694,0.468208761594048,0.399157590826633,0.369513385041553,0.21467045074339,2.19192602716517,0.86059408937334,-0.883489904062408
687,"03","f6","yi7inh",3,"i","rearticulated","L",173,0.686,-6.726,-7.412,-7.149,-0.263,2.807,26.847,0.856,9.956,10.953,17.399,0.209,24.471,40.141,45.137,45.57,149.744,304.472,2737.423,12.36,247.749,-1.20760831050175,0.066,-7.582,-16.682,-17.679,-0.730601339447512,0.111786724346846,0.287367851947268,0.917558894382369,0.640949326582446,-0.19744031612022,-0.687408505694248,-0.212057786478642,-0.680398969659254,0.671872680341086,-1.27450009226687,-1.01000050337468,-0.19608752841404,0.792919625147281,0.00697935122368867,0.467057789901479,0.549363448020747,0.492384647618892,0.698607017700032,-0.0514706928682974,2.19192602716517,0.854615634243183,-1.24167009103365
687,"04","f6","yi7inh",3,"i","rearticulated","L",173,2.336,-5.524,-7.859,-6.649,-1.211,4.658,26.683,2.476,9.76,12.245,18.802,0.392,30.878,45.012,49.48,49.024,152.381,301.337,2637.34,20.318,380.251,-1.27572413039921,0.08,-8,-15.284,-17.768,-0.455693836920113,0.0259013709339687,0.359715635142823,0.874207357162003,0.822551556124255,-0.208891306909938,-0.387054753029632,-0.355219209406396,-0.42809292028573,0.653977777802196,-1.10303820766421,-1.03435406240077,-0.043461766103847,0.613556133171383,0.723376568556094,0.875989529434718,0.892552156054979,0.768074933715179,1.01593922843532,0.606689162279526,2.19192602716517,0.893184185248192,-0.8511555672937
687,"05","f6","yi7inh",3,"i","rearticulated","L",173,2.656,-6.114,-8.77,-7.412,-1.358,6.868,24.502,2.726,14.494,9.089,15.647,0.321,33.514,45.381,49.656,48.648,147.717,294.851,2489.592,19.364,544.927,-1.431798275933,0.059,-8.84,-20.608,-15.203,-0.590631795731399,-0.149135669243058,0.249312917986406,0.787089435475143,0.13095622702512,0.121128820906057,-0.328804328270434,-0.37741829080975,-0.126852310282765,0.41599739708684,-1.07657804028726,-0.446141060209258,-0.416284448651036,0.202579596557198,1.01812029649245,0.906967934667271,0.906459872521483,0.73806348392589,0.302337571364873,0.351337524489933,2.19192602716517,0.832187080386485,-0.721202534840146
687,"06","f6","yi7inh",3,"i","rearticulated","L",173,4.828,-6.03,-10.858,-8.279,-2.579,5.997,24.998,5.196,14.919,11.916,14.88,0.682,32.782,45.659,49.776,48.946,149.364,286.701,2624.2,56.28,340.982,-1.61978875828839,0.077,-11.226,-20.948,-17.946,-0.571420289731148,-0.550318259681731,0.123861861925314,0.539633053159848,0.0867897334312606,-0.231793288489371,0.066570429782624,-0.561806579200877,-0.245576550695698,0.470118565741043,-0.815151586602973,-0.393333598035326,-0.0823269950512566,-0.292439466918111,0.936271886458529,0.930306678988815,0.915942406475918,0.761849154237613,0.128856597997826,1.64967472508209,2.19192602716517,0.885513357138936,-0.382931231657203
687,"07","f6","yi7inh",3,"i","rearticulated","L",173,6.909,-4.238,-11.147,-7.121,-4.026,9.413,22.817,8.077,16.818,15.559,15.254,0.678,32.946,46.24,49.763,49.011,151.468,289.007,2442.126,51.043,505.871,-1.52287874528034,0.083,-12.315,-21.056,-19.797,-0.161574828392463,-0.605845926653367,0.291419327806219,0.426690890401527,0.0727603766426229,-0.469948164351907,0.445380223294785,-0.78032406757267,0.22005146910979,0.232138185025687,-0.510224617750974,-0.15737743175698,0.348025676849697,-0.037254718841673,0.954609508378697,0.979082975574488,0.914915131964187,0.767037303802251,0.213448363368459,1.63528871731929,2.19192602716517,0.900576011501005,-0.137562656105051
687,"08","f6","yi7inh",3,"i","rearticulated","L",173,5.955,-3.904,-9.859,-4.909,-4.951,13.213,19.905,6.547,18.164,14.114,16.629,0.452,32.725,46.523,49.964,49.234,151.241,297.178,2409.402,33.863,399.543,-1.39794000867204,0.084,-10.451,-22.068,-18.018,-0.0851862212009888,-0.358373140980469,0.611485920663354,0.62000970709713,-0.0586998925249814,-0.241057011375434,0.271721144481425,-0.920012164838675,0.738021748752897,-0.085605450298989,-0.672160842097922,0.00986690726916674,0.177325811108034,0.291735640737859,0.929898444693593,1.00284148148455,0.930798376337864,0.784836647693239,0.524447500760493,0.822479278721435,2.19192602716517,0.902981398396892,-0.273221634850118
687,"09","f6","yi7inh",3,"i","rearticulated","L",173,5.362,-3.845,-9.207,-5.648,-3.559,10.91,22.635,5.647,18.896,12.748,18.929,0.468,30.024,45.491,50.114,50.216,150.46,295.317,2402.333,28.67,578.239,-1.44369749923271,0.077,-9.492,-22.741,-16.593,-0.0716924253198602,-0.233099650096362,0.504555897100324,0.719469334356295,-0.146123569550473,-0.0577124959221037,0.163775826099536,-0.709800455223238,0.424104497695509,0.212279207817894,-0.767417444654951,0.100819995060504,0.0159583255695484,0.171246401918283,0.627886756849855,0.916202689614644,0.942651543780907,0.863217614962073,1.0446642396708,0.88002330977261,2.19192602716517,0.885513357138936,-0.18206765386303
687,"10","f6","yi7inh",3,"i","rearticulated","L",173,4.962,-5.016,-9.978,-6.91,-3.069,9.877,24.484,5.201,18.826,11.967,19.513,0.457,30.023,44.602,49.105,49.662,142.751,299.14,2447.785,39.216,426.102,-1.58502665202918,0.047,-10.217,-23.842,-16.983,-0.339509967299548,-0.381237474439378,0.321950092314743,0.644278270995612,-0.289145067923529,-0.107890994888278,0.0909627951505381,-0.635803517212058,0.28329836641358,0.414033322417937,-0.814622383255434,0.0921222954083265,-0.0763022939074332,-0.200903421745711,0.627774942082049,0.841569079176326,0.862919237447372,0.818998617134238,1.17675405511586,0.840461788424927,2.19192602716517,0.786832524204613,-0.210019590614908
688,"01","f6","yich",1,"i","modal","L",84,5.166,-3.603,-8.769,-13.552,4.783,8.432,17.678,20.79,27.76,13.614,14.689,0.046,30.312,44.498,48.514,48.609,226.992,335.046,1746.31,83.001,756.822,-1.58502665202918,0.07,-24.393,-31.363,-17.217,-0.0163449913667565,-0.1489435319871,-0.639117859655009,-0.825940369281678,-1.26613388651004,-0.137998094267983,0.128097440934527,0.549959660877315,0.0863333521808721,-0.328605132945985,0.835327813701807,1.20219727673046,0.118260113619569,-0.200903421745711,0.660089409977955,0.832838038135173,0.816217757721784,0.734950594187107,0.0856559905491873,-0.63770050920215,-0.250465518420247,0.866401707913903,0.113145385317883
