"idnum","percent","Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","F0","F1","F2","F3","F4","Energy"
1005,"01","f8","dam",1,"a","modal","H",150,171.942,711.705,1757.379,3335.722,4369.457,0.261
1005,"02","f8","dam",1,"a","modal","H",150,166.954,728.983,1770.585,3282.773,4196.623,0.237
1005,"03","f8","dam",1,"a","modal","H",150,162.97,667.752,1751.383,3241.832,4138.095,0.178
1005,"04","f8","dam",1,"a","modal","H",150,163.4,448.051,1673.746,3244.122,4186.296,0.151
1005,"05","f8","dam",1,"a","modal","H",150,163.834,315.334,1618.069,3240.583,4246.278,0.149
1005,"06","f8","dam",1,"a","modal","H",150,165.666,254.625,1549.692,3210.503,4205.953,0.14
1005,"07","f8","dam",1,"a","modal","H",150,169.147,263.528,1516.21,3217.779,4370.667,0.132
1005,"08","f8","dam",1,"a","modal","H",150,171.625,243.144,1439.406,3280.027,4482.145,0.123
1005,"09","f8","dam",1,"a","modal","H",150,169.386,273.281,1497.643,3335.921,4520.831,0.118
1005,"10","f8","dam",1,"a","modal","H",150,172.971,240.905,1791.986,3043.619,4502.977,0.12
1006,"01","f8","dam",2,"a","modal","H",145,163.779,649.409,1699.107,3390.559,4496.288,0.132
1006,"02","f8","dam",2,"a","modal","H",145,159.376,613.737,1699.269,3331.297,4390.793,0.212
1006,"03","f8","dam",2,"a","modal","H",145,154.025,427.018,1687.363,3219.956,4221.179,0.167
1006,"04","f8","dam",2,"a","modal","H",145,151.537,386.762,1641.938,3088.203,4175.091,0.149
1006,"05","f8","dam",2,"a","modal","H",145,150.758,356.307,1598.646,2708.476,4411.07,0.148
1006,"06","f8","dam",2,"a","modal","H",145,151.537,329.176,1577.655,2813.523,4409.091,0.139
1006,"07","f8","dam",2,"a","modal","H",145,152.357,317.444,1533.862,3205.762,4298.112,0.114
1006,"08","f8","dam",2,"a","modal","H",145,155.825,348.919,1520.363,3323.72,4201.069,0.075
1006,"09","f8","dam",2,"a","modal","H",145,160.373,505.541,1487.016,3311.881,3874.245,0.053
1006,"10","f8","dam",2,"a","modal","H",145,161.407,686.869,1726.432,3286.924,3939.377,0.053
1007,"01","f8","dam",3,"a","modal","H",141,159.475,493.059,1835.601,3314.334,4336.153,0.053
1007,"02","f8","dam",3,"a","modal","H",141,155.373,416.243,1867.498,3291.783,4298.318,0.057
1007,"03","f8","dam",3,"a","modal","H",141,151.73,308.999,1840.695,3202.962,4274.503,0.053
1007,"04","f8","dam",3,"a","modal","H",141,150.06,292.458,1764.819,3167.61,4183.577,0.054
1007,"05","f8","dam",3,"a","modal","H",141,148.879,268.407,1654.078,3126.415,3997.77,0.061
1007,"06","f8","dam",3,"a","modal","H",141,150.927,259.487,1642.725,3186.294,4165.68,0.062
1007,"07","f8","dam",3,"a","modal","H",141,151.589,266.678,1639.39,3249.867,4014.076,0.056
1007,"08","f8","dam",3,"a","modal","H",141,153.292,258.309,1616.643,3252.755,4208.409,0.045
1007,"09","f8","dam",3,"a","modal","H",141,157.216,271.128,1608.606,3297.638,4212.598,0.037
1007,"10","f8","dam",3,"a","modal","H",141,157.161,301.238,1625.764,3211.073,4110.816,0.037
1008,"01","f8","duh",1,"u","breathy","L",187,182.838,327.047,2379.426,3296.012,3797.876,0.173
1008,"02","f8","duh",1,"u","breathy","L",187,170.874,315.913,2485.325,3497.006,3838.658,0.188
1008,"03","f8","duh",1,"u","breathy","L",187,163.262,317.664,2409.199,3577.175,4231.119,0.151
1008,"04","f8","duh",1,"u","breathy","L",187,158.092,320.1,2369.225,3584.904,4472.249,0.135
1008,"05","f8","duh",1,"u","breathy","L",187,155.425,317.341,2334.733,3527.284,4276.978,0.129
1008,"06","f8","duh",1,"u","breathy","L",187,152.483,341.155,2335.519,3313.368,4017.925,0.112
1008,"07","f8","duh",1,"u","breathy","L",187,152.944,354.132,2363.819,3281.869,4109.967,0.099
1008,"08","f8","duh",1,"u","breathy","L",187,150.014,338.088,2382.211,3367.454,4072.468,0.085
1008,"09","f8","duh",1,"u","breathy","L",187,148.594,288.67,2357.006,3405.755,4012.911,0.057
1008,"10","f8","duh",1,"u","breathy","L",187,147.485,289.607,2442.64,3541.865,4080.325,0.036
1009,"01","f8","duh",2,"u","breathy","L",138,174.416,319.302,2469.974,3455.106,4372.1,0.07
1009,"02","f8","duh",2,"u","breathy","L",138,166.864,309.293,2461.491,3340.802,4133.139,0.072
1009,"03","f8","duh",2,"u","breathy","L",138,161.9,319.45,2442.283,3543.621,4439.398,0.059
1009,"04","f8","duh",2,"u","breathy","L",138,155.143,321.538,2422.632,3413.791,4419.234,0.049
1009,"05","f8","duh",2,"u","breathy","L",138,153.082,316.688,2432.919,3353.198,4298.07,0.04
1009,"06","f8","duh",2,"u","breathy","L",138,148.972,328.033,1924.452,2709.374,4139.964,0.033
1009,"07","f8","duh",2,"u","breathy","L",138,147.278,288.049,1489.661,2397.299,4124.763,0.029
1009,"08","f8","duh",2,"u","breathy","L",138,147.558,254.545,1471.328,2410.083,4105.935,0.026
1009,"09","f8","duh",2,"u","breathy","L",138,145.865,247.41,1510.397,2376.248,3995.934,0.021
1009,"10","f8","duh",2,"u","breathy","L",138,147.864,226.027,1454.223,2397.398,3833.475,0.021
101,"01","f3","duh",2,"u","breathy","L",194,237.253,371.904,1748.009,2898.106,4067.371,0.074
101,"02","f3","duh",2,"u","breathy","L",194,225.966,352.801,1517.742,2906.451,4036.806,0.094
101,"03","f3","duh",2,"u","breathy","L",194,219.676,323.341,1307.187,2841.262,3865.541,0.119
101,"04","f3","duh",2,"u","breathy","L",194,212.165,346.968,1191.002,2849.569,3929.116,0.091
101,"05","f3","duh",2,"u","breathy","L",194,207.924,388.536,1042.979,2607.191,4159.313,0.11
101,"06","f3","duh",2,"u","breathy","L",194,203.855,391.163,1051.198,2589.724,3993.949,0.1
101,"07","f3","duh",2,"u","breathy","L",194,206.579,300.338,716.073,2054.309,3864.527,0.081
101,"08","f3","duh",2,"u","breathy","L",194,208.127,292.7,665.437,1823.331,3887.603,0.057
101,"09","f3","duh",2,"u","breathy","L",194,213.357,366.638,548.976,2211.198,4037.615,0.034
101,"10","f3","duh",2,"u","breathy","L",194,215.206,357.466,678.866,2270.507,4027.172,0.024
1010,"01","f8","duh",3,"u","breathy","L",116,161.542,312.81,1886.596,3046.773,3642.27,0.06
1010,"02","f8","duh",3,"u","breathy","L",116,162.523,313.213,1760.91,3161.096,3741.119,0.087
1010,"03","f8","duh",3,"u","breathy","L",116,156.382,321.61,1491.471,3225.316,3961.294,0.082
1010,"04","f8","duh",3,"u","breathy","L",116,151.322,324.447,1400.271,3251.991,4143.468,0.069
1010,"05","f8","duh",3,"u","breathy","L",116,148.082,338.776,1383.046,3347.315,4219.488,0.059
1010,"06","f8","duh",3,"u","breathy","L",116,144.349,312.836,1458.799,3400.688,4264.136,0.056
1010,"07","f8","duh",3,"u","breathy","L",116,144.36,275.709,1482.471,3433.503,4231.718,0.048
1010,"08","f8","duh",3,"u","breathy","L",116,143.216,221.153,1442.834,3323.702,4051.365,0.039
1010,"09","f8","duh",3,"u","breathy","L",116,142.771,163.028,1413.16,3277.304,4016.962,0.03
