"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2","h1cz","h2cz","h4cz","a1cz","a2cz","a3cz","h1h2cz","h2h4cz","h42Kcz","h2Kh5Kcz","h1a1cz","h1a2cz","h1a3cz","energyz","hnr05z","hnr15z","hnr25z","hnr35z","cppz","shrz","durationz","norm.soe","H1c_resid"
"m2","rbej",2,"e","modal","L",144,5.818,8.0535,-5.3905,-8.928,-16.347,-17.968,-2.2355,13.4435,14.746,22.165,23.786,9.849,18.957,20.1955,-0.54821356447571,24.115,39.2895,40.9475,42.3145,0.455,0.0295,87.6095,359.8595,1810.065,-0.384686753491729,0.954016471613218,-0.0102998336946233,0.422620003571956,0.496437883258143,-0.788247649842176,-2.03337131677533,1.2310103040557,0.286199581824713,0.0656507352586757,-0.800163600231973,-0.827937998151567,0.554728465105672,0.515826532134157,0.941431430790312,0.764645160192671,0.538181380656646,0.492179095328476,0.823996444242514,1.99946029654649,0.0915145805097682,0.720548813624344,-0.709079316173707
"m2","rbej",3,"e","modal","L",106,3.929,6.3215,-5.7285,-13.1965,-25.28,-3.989,-2.3925,12.05,17.1255,29.2095,7.919,8.559,22.8605,20.0475,-0.835647144215563,19.792,36.286,40.052,43.018,0.1935,0.028,83.967,377.261,1759.684,-0.745462347976638,0.685676807009024,-0.0618263641547838,-0.111244298432544,-1.031386805348,0.82169197423822,-2.07243678458551,0.955433005940087,0.138198942881191,0.485295944366995,-0.447131449938932,0.358275134193271,-1.26757526853285,-0.0966118534862996,0.286940412222004,0.480892239888348,0.455220358146383,0.557124511520111,0.792851068982831,0.537452794587058,-0.641591410384698,0.700453631742956,-0.6847051655025
"m2","rmedzw",1,"e","modal","H",123,13.891,6.241,-6.123,-8.3575,-15.0965,-4.855,7.6505,12.3635,22.2485,28.9875,18.7465,5.4265,18.6415,19.1725,-0.226213555018806,9.305,27.4875,31.0995,34.9145,0,0.039,97.5395,378.106,1895.469,1.15715621859756,0.673204899964776,-0.121966057251036,0.493972840468657,0.710312815878986,0.721956105116422,0.426509032087223,1.01743048205006,-0.221190205561123,0.0317329528906278,0.312937348527656,0.320892876349484,-0.0240513713896539,1.20191604937164,-1.30076426317144,-0.350338014580632,-0.374158261644932,-0.19097098259348,0.608714559846193,-0.544376848354243,-0.313622940774016,0.82859505613224,0.401296248054476
"m2","rmedzw",2,"e","modal","H",147,10.538,5.206,-3.9555,-9.6575,-15.8545,-18.7025,5.332,9.1615,20.1955,26.3925,29.24,15.9415,12.9595,18.6415,-0.552841968657781,17.5505,37.605,39.8745,41.9575,0,0.036,96.3955,352.8505,1916.48,0.516774763696608,0.512851809395872,0.208459252726472,0.331380924665483,0.580670913498659,-0.872838869091553,-0.150390885861172,0.384205861622217,0.985187095594799,-0.579109644305087,0.00834604592138963,-0.116075407905587,1.18111307235748,0.505964732452185,-0.0524168901422944,0.60550356064127,0.438776381043567,0.459221719947646,0.496970004015845,-0.544376848354243,0.149391369264594,0.797529721264463,0.198584081437988
"m2","rmedzw",3,"e","modal","H",146,10.695,4.323,-7.255,-11.3865,-18.747,-17.4385,6.372,11.578,22.081,29.442,28.133,15.309,5.5035,14.5645,-0.679853713888946,10.998,30.7785,32.451,33.575,0,0.0445,90.6545,336.348,2024.566,0.546759818399695,0.376048158214865,-0.294534200685657,0.11513367664726,0.085962202898271,-0.727265960812161,0.108386735301791,0.862090713359843,0.912620890841483,-1.38066585773192,0.288086377662313,0.39742547179994,1.05397560256875,0.235339190806655,-1.04444844211288,-0.0394237942638266,-0.248952430352224,-0.314630378455164,-0.361000907698522,-0.544376848354243,0.130099106346319,0.879931089647357,0.39875990282843
"m2","wej",1,"e","modal","L",170,9.2635,6.9505,-7.6835,-12.176,-12.111,-22.071,2.313,14.634,21.4395,21.3745,31.334,7.927,17.2365,19.6075,-0.671620396561262,21.6945,37.099,37.007,40.5905,0,0.029,86.791,386.4365,1799.987,0.2733610552948,0.783128105528676,-0.359857035899203,0.016390355472948,1.22092745909332,-1.26078375954973,-0.901592461140968,1.46644250599803,0.065690102716612,-0.11931137112556,0.192910868348177,-0.961049146014239,1.42160617239146,0.252882024796445,0.57497399140919,0.557699672619301,0.173125088974135,0.33302359068828,0.700256710102693,-0.544376848354243,0.593113416384929,0.713962382794928,0.114328816800733
"m2","wej",2,"e","modal","L",117,3.9935,-4.637,-18.8175,-20.901,-14.8385,-18.3085,8.63,14.1805,24.894,18.832,22.302,-3.5275,24.998,17.5635,-1.42021640338319,20.4085,33.8375,34.7295,39.6025,0,0.036,78.297,294.531,1763.2025,-0.733143647159127,-1.01212932149275,-2.05718363395668,-1.07485154097528,0.754438951517672,-0.827462503694338,0.670232762788303,1.37675875666511,-1.24847526067763,0.715087576099808,0.705434324194914,-1.3891770314549,0.384293049417793,-1.34216101198056,0.380276917645867,0.249572437868993,-0.0378673496267833,0.241813823527889,0.270113824759508,-0.544376848354243,-0.429376518283668,0.797529721264463,0.110913459416723
"m2","wej",3,"e","modal","L",142,5.154,-5.97,-14.9725,-17.158,-12.5105,-23.741,11.1235,9.003,22.312,17.6645,28.895,3.8375,20.618,14.7505,-1.38721614328026,17.827,33.02,34.137,38.829,0,0.039,78.1615,304.412,1853.23,-0.511502526248732,-1.21865170770371,-1.47103123863326,-0.606711894166603,1.15260036146675,-1.45311505450747,1.29067699199008,0.352861045151944,-0.403494868569849,0.244216302654326,0.322358462855712,-1.58577066223247,1.14149028366994,-1.2718469378881,-0.0105555053090452,0.172339871746541,-0.0927578084066051,0.170406176869425,-0.321858746899191,-0.544376848354243,0.0529300546732173,0.82859505613224,0.288335523596758
"m2","xche",1,"e","modal","H",169,14.796,8.6435,3.0195,-5.4575,-8.159,4.3125,6.153,5.624,20.2535,22.955,10.484,8.124,16.739,15.885,-0.0103277523761268,10.119,27.0445,29.249,31.904,0.33,0.0445,106.024,384.195,1778.1675,1.33000000526185,1.04542547976361,1.27176561355375,0.856677883414201,1.89684407941924,1.77776277968234,0.053894140076129,-0.315366934993489,0.0882917506793048,-0.172795037458694,0.0169511582210309,-0.694911044563318,-0.972988448290662,1.66190667596622,-1.17752676858097,-0.392190035121606,-0.545592513074569,-0.46889305145619,-0.0831126101957445,1.30060393805728,0.573821153466654,0.879931089647357,0.284861510108292
"m2","xche",2,"e","modal","H",153,14.0165,8.932,5.063,-5.2735,-6.2715,-10.0335,5.0845,3.8695,19.2895,20.288,24.05,13.3915,19.0805,19.154,-0.0118871597316481,16.0915,33.9175,35.1215,35.7535,0.1295,0.03,104.7425,372.29,1796.4395,1.18112516359907,1.09012293544393,1.58328769933877,0.879690893035573,2.21966609886893,0.125556338087283,-0.211974983205243,-0.662335266205435,0.692627693032022,0.078927585092127,-0.126071742759214,-1.14400330433529,0.585048512101359,1.65858402687211,-0.273305716441429,0.257130364828988,-0.00155163681380457,-0.113516534569626,0.604821387938733,0.179638339040581,0.265144946774247,0.727028143258977,0.138076213258328
