"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2","h1cz","h2cz","h4cz","a1cz","a2cz","a3cz","h1h2cz","h2h4cz","h42Kcz","h2Kh5Kcz","h1a1cz","h1a2cz","h1a3cz","energyz","hnr05z","hnr15z","hnr25z","hnr35z","cppz","shrz","durationz","norm.soe","H1c_resid"
"m1","llume",3,"u","modal","M",53,13.614,9.055,-1.861,-3.001,-17.7535,-2.573,4.5595,10.9165,16.615,31.3675,16.187,-4.42,29.5605,0,0.0578562087418879,0,0,0,0,0,0.0545,139.786,374.5575,1317.065,0.691619492974171,0.726893883515217,-0.35572509127711,0.482820922071879,-1.18800240373108,0.866082261002434,-0.128285656192951,0.775553512748604,-1.41059100603366,1.25760628465767,-0.122821820504234,1.40922321548484,-0.386190338811608,0.637352786398161,-2.70448889507497,-2.77327620878199,-3.06566832683886,-3.31976279725961,-3.64256168128707,-0.818758642787459,-1.42758069284349,0.685656207170636,0.290801600073643
"m1","sukr",2,"u","modal","H",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00667992774082549,0,0,0,0,0.776,0.086,184.046,359.485,2779.676,-3.16946307212717,-1.58597405171516,0.0409791743770821,0.90782701187121,1.47164563316325,1.2990770155617,-1.5664507079813,-1.09957943594175,-0.832627125187513,-2.55014734204532,-2.22527950872386,-2.85398989294294,-2.69465689592609,0.445037179698307,-2.70448889507497,-2.77327620878199,-3.06566832683886,-3.31976279725961,-3.64256168128707,1.86423016113012,-1.71155251239353,0.886912772077046,-3.44933768542749
"m1","sukr",3,"u","modal","H",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00877392430750515,0,0,0,0,0.1245,0.111,189.415,351.313,1494.6235,-3.16946307212717,-1.58597405171516,0.0409791743770821,0.90782701187121,1.47164563316325,1.2990770155617,-1.5664507079813,-1.09957943594175,-0.832627125187513,-2.55014734204532,-2.22527950872386,-2.85398989294294,-2.69465689592609,0.386963070474489,-2.70448889507497,-2.77327620878199,-3.06566832683886,-3.31976279725961,-3.64256168128707,-0.388304897829033,-1.79892845687046,1,-3.41281608767515
"m1","yu7",1,"u","checked","L",187,14.622,9.281,1.166,-2.7705,-13.1675,2.236,5.341,8.115,17.3925,27.7895,12.3865,-9.214,35.25,20.5245,0.20655604409903,31.6455,45.257,48.6815,47.7755,0.2375,0.089,189.015,331.001,1129.7895,0.977499559495556,0.784619797746257,0.28953219627541,0.515464675387023,-0.500974724839745,1.67536005916625,0.118216369900391,0.294338383746082,-2.0374595229514,1.99048340984589,-0.024437176953782,0.92293082680373,-0.928188680092487,1.19615265410022,0.79695024508207,0.865678211298907,1.00010791141674,0.987264285565648,0.0990803049039851,0.00238805944247036,1.4995134471338,0.902090811895257,0.22526406820155
"m1","yu7",2,"u","checked","L",158,12.4275,4.286,2.426,3.4925,-14.623,-2.7725,8.1415,1.86,8.9355,27.051,15.2005,-2.1435,30.3375,18.842,0.216957207361097,25.1715,39.418,41.526,41.7615,0.606,0.064,169.3865,330.8555,1294.6535,0.355114831339622,-0.491225076519424,0.55812294035079,1.40244006372865,-0.71902286845648,0.83250960125328,1.00155472444218,-0.780086257307202,-1.11291345518609,1.35769337952914,-1.09458371136687,0.822559969050517,-0.526877449369057,1.23523923843188,0.0806298521865018,0.396184986850704,0.402495638318372,0.445093907942994,-0.207641546627914,1.27646199532343,0.866037849676032,0.756396178245856,-0.421701398764722
"m1","yu7",3,"u","checked","L",174,12.0875,3.828,-0.271,-0.1405,-13.7475,-1.808,8.26,4.0985,12.228,25.8345,13.8955,-6.179,31.3965,18.5765,0.110421346473956,26.2315,41.0035,44.212,43.977,0.4065,0.066,179.42,346.5365,1169.3715,0.258687031124075,-0.608209451377018,-0.0167891523248449,0.887929192605364,-0.587864400757097,0.994819527709717,1.03893219097073,-0.395577934525783,-1.64059970884098,1.49410552041574,-0.677951635624277,0.657223275134763,-0.71298660220988,0.834887584872366,0.197914315651021,0.523669403251223,0.626824695063842,0.6448242823399,-0.256042528251521,0.586698765450294,1.21554162758377,0.769964164919305,-0.266356382380828
"m1","yu7u",1,"u","laryngealized","F",188,4.4535,2.122,-4.6425,-3.81,-19.426,5.3985,2.3315,6.7645,8.2635,23.8795,-0.945,-20.788,43.8385,17.4995,-0.184090349113225,11.033,23.729,32.2955,35.9205,0.3125,0.022,144.1365,345.3535,733.7445,-1.90640069489206,-1.04396347650159,-0.948649817186372,0.368249137117644,-1.43855927092379,2.20755823689407,-0.831045111261369,0.0623622881837386,-3.55088801999061,3.09678716055845,-1.17961841293073,0.391515723465797,-2.82942559281082,-0.27185941411093,-1.48373466356172,-0.865311707509266,-0.368416259778816,-0.0814802815638106,-0.452380973481746,0.261697544357185,1.52135743325304,0.291274100919895,-1.73543397150969
"m1","yu7u",1,"u","laryngealized","R",264,8.393,-5.4025,-4.747,-6.49,-22.5555,-22.865,13.7955,-0.6555,14.8825,30.9485,31.2575,7.3335,20.3715,16.3035,-0.266000713461613,25.9975,42.6495,48.492,49.7865,0.4075,0.0695,198.2485,386.3305,2016.43,-0.789114462688683,-2.96590436867619,-0.970925795564052,-0.011296454572528,-1.90738899641234,-2.54873684491153,2.7849487814246,-1.21217501583151,0.126309101098735,0.0739507958880663,-0.342051910473569,1.35227617499926,1.76304949865017,-0.579670788961309,0.172023217112627,0.656018409492316,0.984281270965036,1.16855870349035,-0.670413267349295,0.590156225249157,3.18150037831479,0.792761562732993,-0.42457157660438
"m1","yu7u",2,"u","laryngealized","F",187,5.236,0.286,-3.032,-0.1275,-18.2695,1.8815,4.9505,3.318,5.3635,23.506,3.355,-15.1285,40.33,15.2745,-0.217527375833714,16.247,30.942,38.5035,40.7925,0.441,0.034,157.6695,305.3935,703.2055,-1.68447494880775,-1.51292267352898,-0.605343949461452,0.88977027196804,-1.26530425334032,1.61570337805811,-0.00495578773166277,-0.52964483018399,-2.81084580649541,2.64484948699788,-1.54658364289383,0.340752669476866,-2.21619236889087,-0.397512586912926,-0.906827878180581,-0.285340029491644,0.150062811061046,0.357737224218958,-0.85800125262497,0.705981128511063,1.4995134471338,0.479246570342703,-1.43448756209168
"m1","yu7u",2,"u","laryngealized","R",248,8.021,-4.5195,-4.946,-8.152,-22.7555,-19.92,12.5405,0.4265,16.173,30.7765,27.941,9.5735,17.2855,14.884,-0.441291429466834,19.975,37.3,44.6655,47.4495,0.1315,0.0675,204.7385,391.958,2373.828,-0.894617820571575,-2.74036462413633,-1.01334607974739,-0.246671370016209,-1.93735095362521,-2.05314043909068,2.38909460004629,-1.0263193065398,0.419213873292257,-0.323563714759771,-0.178752383139989,1.32889934692404,1.2900755481547,-1.23839666231456,-0.49434063309027,0.225884139208763,0.664700058888886,0.957874936861793,-0.929189890380219,-0.364102679236993,2.83199660040705,0.779876952788111,-0.115815952348664
